c_schoolname,district,areacode,address,date
私立學霸文理短期補習班,三重區,65000020,大榮街2號(2樓),43510
私立心田優遊學園文理短期補習班,三重區,65000020,慈愛街5號(1、2樓),43496
私立安墾文理短期補習班,三重區,65000020,正義北路297號1、2樓,43488
私立快樂陽光文理短期補習班,三重區,65000020,忠孝路1段45巷1號1樓、3號1樓,43423
私立翊華集賢文理技藝短期補習班,三重區,65000020,集賢路181號4樓,43398
私立三民唐吉君文理短期補習班,三重區,65000020,三民街124號1、2樓,43283
私立翊芊文理短期補習班,三重區,65000020,永福街62號2樓,43187
私立忠孝快樂學堂文理短期補習班,三重區,65000020,中正北路145巷8弄4號1樓,43181
私立強森文理短期補習班,三重區,65000020,三民街202號(1樓),42971
私立康和文理技藝短期補習班,三重區,65000020,碧華街280號1樓,42786
私立桔子美術短期補習班,三重區,65000020,文化北路4之2號(1樓),42775
私立建兒樂語文美術珠心算短期補習班,三重區,65000020,大智街155號1樓,37343
私立吳非文理短期補習班,三重區,65000020,三民街300巷8弄14號1樓,42726
私立愛箂兒文理技藝短期補習班,三重區,65000020,集美街123號2樓,42724
私立英龍文理短期補習班,三重區,65000020,三賢街17號(1樓及夾層),42718
私立夏綠蒂皇家文理技藝短期補習班,三重區,65000020,五華街7巷12號2樓、14號2樓、21巷13號5、6、7樓、15號5、6、7樓,42691
私立自強電機技藝短期補習班,三重區,65000020,中央南路51號3樓,42635
私立德瑄文理語文短期補習班,三重區,65000020,重新路4段98號5樓之1,42600
私立樂獅文理語文短期補習班,三重區,65000020,進安街190、192號(各1樓),42571
私立名人兒童圍棋有限公司附設重新圍棋短期補習班,三重區,65000020,重新路4段6之1號(2樓),42571
私立向品語文文理短期補習班,三重區,65000020,三和路4段132號2樓、自強路3段105號1樓,42556
私立全德文理短期補習班,三重區,65000020,重陽路1段156號(1、2、3、4樓),42537
私立葛菈芭朵藝術學苑美術短期補習班,三重區,65000020,仁義街387號1樓,42522
私立諾貝爾優等文理語文短期補習班,三重區,65000020,永福街46巷41弄57號1樓、59號1、2樓,42472
私立學悟處文理語文短期補習班,三重區,65000020,五華街125號2樓,42438
私立茱莉亞文理語文珠心算美術短期補習班,三重區,65000020,三民街175巷27號4樓、重陽路二段52巷83弄6號4樓,42339
私立菁紅文理美語短期補習班,三重區,65000020,仁愛街507號1樓及夾層,42303
私立東華文理短期補習班,三重區,65000020,五華街142號1、2樓,42157
私立集美唐吉君文理語文短期補習班,三重區,65000020,集美街220、224號(各3樓),42124
私立文巽文理短期補習班,三重區,65000020,重新路4段120號1、2樓,42124
私立有鼓氣音樂短期補習班,三重區,65000020,三民街329號(2樓),42080
私立宏驊語文文理短期補習班,三重區,65000020,頂崁街164號2樓,41970
私立妙聲音樂文理短期補習班,三重區,65000020,重新路4段106號2樓,41911
私立立全語文文理短期補習班,三重區,65000020,仁愛街367號2樓,41883
私立哈佛學園文理美語短期補習班,三重區,65000020,自由街20號1樓,41859
私立中國青年救國團附設文北語文技藝短期補習班,三重區,65000020,重新路2段1號7樓,41850
私立翔絮舞蹈短期補習班,三重區,65000020,重新路4段162號2樓之2,41794
私立池科文理語文短期補習班,三重區,65000020,溪尾街113巷6號1樓、113巷10號1樓、123巷13號1樓,41745
私立學悟處五華文理短期補習班,三重區,65000020,五華街77號2樓,41648
私立學嘉文理技藝短期補習班,三重區,65000020,集美街238號2樓,41514
私立英權文理語文電腦美術珠心算短期補習班,三重區,65000020,三賢街117、119、121、123號各1樓,41514
